Coluna alvo,RÂ²,MAE,MSE,RMSE,MAPE,MPE
attr_conc.max,0.7801742550332549,0.12481119436900327,0.026493890448548954,0.16276943954117723,30.09495189603187,-18.380454631212455
attr_conc.mean,0.9667371268667759,0.02731673213630028,0.0015913647801862076,0.039891913719276584,22.585862301928998,-12.545267941346397
attr_conc.median,0.9451869794335717,0.04482111572331764,0.004273791781113481,0.06537424401944149,10800088.562779065,10800033.754079433
attr_conc.min,-3.231160918800775,0.028531578543991243,0.005087313812543166,0.07132540790309695,6307711.22715872,6286893.808595375
attr_conc.sd,0.7845849956169276,0.03507490550856381,0.002767808276817964,0.05260996366486071,20.37069673681251,4.152535225422578
attr_ent.max,0.9555141425955043,0.5737100876260309,0.5144445694064009,0.7172479134904478,14.691396502683663,-4.945606228902796
attr_ent.mean,0.9506682166086199,0.37071834676653015,0.3464269683690281,0.5885804688987123,10.959995153953418,-0.07772832286140288
attr_ent.median,0.9701749229797543,0.34023734245951304,0.2797633793466175,0.5289266294549911,10.293052043984332,4.779431469858807
attr_ent.min,0.8757696363600858,0.35929612704643,0.25256032392525374,0.5025538020204938,inf,-inf
attr_ent.sd,0.9136658293065169,0.21790539407507836,0.07978601717653208,0.2824641874229936,284.4710707969385,-272.1593504943268
attr_to_inst,-7364.883964058656,4.841556786138791,209.80196114739024,14.484542144900205,122337.93498682673,-122329.43731121377
cat_to_num,0.6316899135925662,3.4152249542278037,108.70484180746163,10.42616141288162,inf,-inf
cor.max,0.5974780096767607,0.043286756723727456,0.00806780607179673,0.08982096677166601,5.242529211948047,-0.1208357380274065
cor.mean,0.899043634019988,0.010504324717905042,0.0008212456775531088,0.02865738434597807,77.03765482921057,-73.0401530190662
cor.median,0.5938539385631647,0.01770223495623936,0.0017057630830538027,0.041300884773256406,inf,-inf
cor.min,-91.35769197988063,0.0058932783747974934,0.00016590477445009905,0.012880402728567886,inf,-inf
cor.sd,0.8356910407501271,0.016452694963790242,0.0011332828567733985,0.03366426676423235,24.101715571343878,-13.219733926412497
cov.max,-0.047448560274747864,151346541815.27045,4.706529134131293e+23,686041480825.4158,1082787402414.4884,-1082787402390.5035
cov.mean,-0.03267590397930609,3955.2847366328974,228664313.1567689,15121.650477271616,296402237.90994513,-296402213.0459133
cov.median,0.2571919392152626,11.876754584130394,707.6669394896192,26.602010064835685,inf,-inf
cov.min,-0.7057911054301407,0.09685599756255157,0.04829230131878587,0.21975509395412401,inf,-inf
cov.sd,-0.047391035359731104,22487599.8818289,1.0273100626709468e+16,101356305.31303649,75572357487.21213,-75572357453.7255
eigenvalues.max,0.8155435755704198,251461212133299.72,3.685784155084646e+29,607106593201280.1,3.4176627092136976e+16,-3.417662709213697e+16
eigenvalues.mean,-1078.149961315783,18279410598.543045,1.8057776491932788e+21,42494442568.33214,502256154906005.75,-502256154906005.2
eigenvalues.median,0.3780031822634481,21.12938402533473,3046.6701769155657,55.19665005157076,2.2994995568616326e+21,-2.2994995568616326e+21
eigenvalues.min,0.18096213527888716,0.24965908345018523,1.0850555431854576,1.0416599940409814,2.615282062611735e+16,4112354187208681.0
eigenvalues.sd,-37641.72183193921,2207041804930.1523,3.097316636894932e+25,5565354109933.106,1.4101880500816256e+16,-1.4101880500816256e+16
g_mean.max,0.994192094145218,8622.948085854072,340011854.67895246,18439.41036690036,inf,-inf
g_mean.mean,0.22425609791089762,122.99841274583262,115092.80014008873,339.25329790598755,inf,-inf
g_mean.median,0.8211902046485041,2.2580144067253904,33.181129380933235,5.760306361725323,inf,-inf
g_mean.min,-193.36230160227666,0.06742858362321888,0.04696669409760213,0.21671800593767498,inf,-inf
g_mean.sd,0.8899103335342925,880.2225086397336,6800632.760128853,2607.802285475042,inf,-inf
h_mean.max,0.8427371563790995,15156.757302502869,3117668538.6809435,55836.0863481758,inf,-inf
h_mean.mean,-1.3528900616070456,162.0466511117598,250345.12045287932,500.3450014268948,inf,-inf
h_mean.median,0.8227303797256014,2.002176768467799,30.87119505198047,5.556185296764361,inf,-inf
h_mean.min,-108.36060260320703,0.04057686578127401,0.01707215718582376,0.13066046527478678,inf,-inf
h_mean.sd,0.8437365933368268,910.8787530539606,6325082.910038715,2514.971751340105,inf,-inf
inst_to_attr,-2.968586021678222,3635.305070442072,41199819.46074158,6418.708550848962,86073.12427708044,-86061.36280380542
iq_range.max,0.1223221942320476,115243.97642857142,116599212987.00346,341466.26917896804,inf,-inf
iq_range.mean,0.7953663571672999,451.27069247224415,1094343.1798125694,1046.1085889201797,inf,-inf
iq_range.median,-70.4838138344436,38.450714285714284,6545.712857738095,80.90557989247772,inf,-inf
iq_range.min,0.38426352941176467,0.24857142857142855,0.7120761904761904,0.8438460703683999,inf,-inf
iq_range.sd,0.08321828493464767,1821.0179930904353,25454389.18613704,5045.23430438439,inf,-inf
kurtosis.max,0.131183723781106,822.6868766032856,5208327.950230325,2282.1761435591084,225.6094601222318,-50.60785737777784
kurtosis.mean,0.8995916338670471,193.56247890426752,133000.89971173825,364.6928840980288,303.40273513422284,240.268516150629
kurtosis.median,0.8337901948592373,166.89927126866877,285848.37007629965,534.6478935489222,233.75083018143408,189.27640310720187
kurtosis.min,0.9187655836528684,0.4950077534976379,0.4776662340753631,0.6911340203429166,61.44526885976579,58.5361838147919
kurtosis.sd,0.9238295848935157,129.7485157337117,65441.202552176925,255.81478173119106,1010.4197841126298,-1007.4819419425795
mad.max,-6.801514062128504,325181.854768,519405290901.3276,720697.7805580697,inf,-inf
mad.mean,-38.26832560441922,103.71490606470404,115420.17346164922,339.7354462837948,inf,-inf
mad.median,0.5475035446341195,1.2940979999999997,20.742961921164014,4.554444194538343,inf,-inf
mad.min,0.3560933333333335,0.186384,0.577703273952,0.760067940352703,inf,-inf
mad.sd,0.07650061170437616,1077.8004749158524,12840404.633026225,3583.3510340219564,inf,-inf
max.max,-21.419800400301497,5522864.957619049,193095963860049.0,13895897.375126552,131215957.79051661,-131215954.54051661
max.mean,0.8686073521888562,62849.95202574747,38067787759.27032,195109.68135710314,178329.08509932994,-178324.76159755987
max.median,0.9049042517306792,7.251666666666668,353.29342738095244,18.796101387813177,117.85113019558293,-114.35744123298849
max.min,0.7139255635245902,0.49190476190476184,1.266252380952381,1.1252788014320634,inf,inf
max.sd,-17.706590896900313,146611.00473944927,96184821734.91365,310136.77907483606,inf,-inf
mean.max,-4.515841173068185,402201.3161403518,945201055687.8441,972214.5111485654,145064949.75929144,-145064946.32137722
mean.mean,-3.5894673305509386,396.1082798971231,1611242.0269528865,1269.3470868729667,104508.12100121094,-104391.58971486072
mean.median,0.8569497941174011,3.130774590628218,41.682760595588086,6.456218753696941,41765.86408422622,-41761.141762679144
mean.min,-740.8009302616802,8.280128996404306,665.4266157929317,25.795864315679204,inf,-inf
mean.sd,0.5593182835660944,3339.1640522588777,70465010.24944006,8394.343943956554,9211914.09513585,-9211909.610963274
median.max,0.8113137065328624,33298.76976190476,14266957264.846256,119444.36891225244,inf,-inf
median.mean,0.7469077596772236,928.9473971691973,7953742.686499523,2820.2380549342856,inf,-inf
median.median,0.8727816278822438,2.406428571428571,35.262134523809515,5.938192866841689,inf,-inf
median.min,-45.43023463855422,2.4814285714285713,34.95428095238095,5.912214555678857,inf,
median.sd,0.9756888449940369,319.7470859244598,1056170.567729946,1027.7015946907673,inf,-inf
min.max,0.021272035207814288,24237.441904761905,11725931765.0756,108286.34154442378,inf,-inf
min.mean,0.8732475395158176,92227.15402193497,89698225989.08878,299496.6209977815,inf,
min.median,0.877106392579861,6.039761904761905,411.9811726190475,20.297319345643835,inf,
min.min,0.9022551834687454,594.9685714285715,3169388.4028000007,1780.2776195863387,inf,
min.sd,0.1257410125888413,1353.6363493794963,28620616.07003343,5349.823928881532,inf,-inf
nr_attr,0.8711712296493426,4.25952380952381,37.32236666666667,6.10920343962015,34.10917113725663,-28.989821870980077
nr_bin,0.6768559502526234,2.3038095238095244,18.853733333333338,4.3420885911429,inf,-inf
nr_cat,0.9361767477740252,3.4395238095238096,18.85463333333333,4.342192226667692,inf,-inf
nr_cor_attr,0.32511706623134373,0.02354256157703866,0.0026234432242579174,0.05121955900100974,inf,-inf
nr_inst,-2.6477865310141175,13812.884285714286,633812002.4465095,25175.623178910773,19677.06297659716,-19669.180474379253
nr_norm,0.15449271641359708,266.2333333333334,1338365.7687619051,1156.877594545726,inf,-inf
nr_num,0.775478323332921,3.1976190476190474,32.9217,5.737743458886952,inf,-inf
nr_outliers,0.36405578078685863,4610.883333333333,98031962.19611904,9901.109139693343,inf,-inf
num_to_cat,-12.170499644399356,19.6809071433194,1879.6399648684903,43.354814783002944,inf,-inf
range.max,-27.650585012120096,6797124.251904761,240599633916167.28,15511274.413025104,219646454.6546773,-219646453.21250045
range.mean,-26.446782438349818,5374.334375723049,233799106.73023266,15290.490728888744,65573.99407578255,-65573.36241971307
range.median,0.8993225632977839,14.552857142857144,1777.6770238095237,42.16250732356324,301.1602539921591,-298.37432934117425
range.min,0.7784675977653631,0.27904761904761904,0.899190476190476,0.9482565455563573,inf,-inf
range.sd,-9.292437823128086,102799.22158469257,47019053367.89685,216838.77275039363,inf,-inf
sd.max,-105.45407528353641,2142841.0463333046,25617503569552.617,5061373.684045925,325735265.64626694,-325735257.89519006
sd.mean,-0.136852880588892,295.063771789976,785617.3076591154,886.3505557391586,277174.3632976566,-277174.3332490369
sd.median,0.5794549414640146,1.9285203028614535,25.04355706204159,5.004353810637452,770.6621523253426,-759.1923648969281
sd.min,0.7204825253883029,0.10118115072880804,0.1196893754857242,0.34596152312898065,inf,-inf
sd.sd,-6.903941346095252,15981.90581786448,2348020266.676565,48456.374881707416,80904523.58748442,-80904514.26858872
skewness.max,0.8451285448053111,4.62186239868368,67.42855910184828,8.211489456965056,96.29329574582482,-74.48572111702245
skewness.mean,0.9570549679155158,1.972324044403131,11.595743749084162,3.4052523767092744,214.24470703087573,-195.38877672665856
skewness.median,0.9363306664553707,2.0486240236484994,23.22856037356687,4.819601682044572,inf,-inf
skewness.min,0.6521288319080261,1.8977945978866952,7.815740150441348,2.795664527521381,inf,inf
skewness.sd,0.9560114703712674,0.81162145775144,0.9840801507295245,0.9920081404552709,61.31639819603505,-59.73189595355757
sparsity.max,0.8442969892942472,0.04360046343672458,0.010533549701149942,0.10263308287852384,91.34599007123573,-83.35060615787468
sparsity.mean,0.9152603719219985,0.025558554708579456,0.0025212273395211365,0.050211824698183756,70.23587141885288,-55.008967924779775
sparsity.median,0.956200232318558,0.025758599961512873,0.0013120311938610866,0.036221971148200735,inf,-inf
sparsity.min,0.9082345194609841,0.020314523590750682,0.0012870634717772197,0.03587566684784019,inf,-inf
sparsity.sd,0.8034971501600741,0.026772814842217267,0.0013919386603837678,0.037308694166156064,inf,-inf
t_mean.max,0.8410264456025832,42329.96033257751,13109757381.806814,114497.84880864275,inf,-inf
t_mean.mean,-24.217919673851206,477.44782922718196,2051843.0048015977,1432.4255669323966,inf,-inf
t_mean.median,0.9106174071315735,2.061718879740137,25.599142009828377,5.059559467960464,inf,-inf
t_mean.min,-52.237047881633956,3.145684609044086,48.17942829441782,6.941140273356952,inf,
t_mean.sd,0.8524957273340678,850.0789310019493,6625710.662592878,2574.0455828506374,inf,-inf
var.max,-3.5291052361316098,423102542577465.4,1.2166977252366592e+30,1103040219228954.1,8.117903225764552e+16,-8.117903225764552e+16
var.mean,-491.7270740762573,11194287661.856115,8.244966588651425e+20,28714049851.338326,276849380002839.56,-276849380002839.4
var.median,0.42276502037430996,55.02591944871095,25371.02258036258,159.2828383108569,157575.86466862794,-157564.9383025953
var.min,0.537613445699185,0.31991478643722415,1.4669379064613397,1.2111721209065784,inf,-inf
var.sd,-27378.156983056644,1982894041090.5652,2.023838758387216e+25,4498709546511.328,2.3798974620448908e+16,-2.3798974620448908e+16
